"Time","Usage for sp25-cs525-0703.cs.illinois.edu","Readiness for 1","Readiness for 0","Readiness for sp25-cs525-0703.cs.illinois.edu"
"2025-05-02T01:45:40.000Z",65.68,0.16,0.14,0.15
"2025-05-02T01:46:00.000Z",68.96,0.24,0.23,0.23
"2025-05-02T01:46:20.000Z",65.72,0.1,0.16,0.13
"2025-05-02T01:46:40.000Z",69.08,0.13,0.17,0.15
"2025-05-02T01:47:00.000Z",65.53,0.23,0.17,0.2
"2025-05-02T01:47:20.000Z",65.3,0.16,0.15,0.15
"2025-05-02T01:47:40.000Z",68.91,0.16,0.16,0.16
"2025-05-02T01:48:00.000Z",68.68,0.18,0.18,0.18
"2025-05-02T01:48:20.000Z",61.54,0.16,0.15,0.16
"2025-05-02T01:48:40.000Z",67.53,0.19,0.22,0.2
"2025-05-02T01:49:00.000Z",68.59,0.23,0.21,0.22
"2025-05-02T01:49:20.000Z",66.67,0.17,0.19,0.18
"2025-05-02T01:49:40.000Z",65.1,0.19,0.21,0.2
"2025-05-02T01:50:00.000Z",59.45,0.16,0.15,0.16
"2025-05-02T01:50:20.000Z",65.24,0.14,0.21,0.17
"2025-05-02T01:50:40.000Z",57.39,0.17,0.23,0.2
"2025-05-02T01:51:00.000Z",62.96,0.2,0.19,0.2
"2025-05-02T01:51:20.000Z",59.57,0.16,0.21,0.19
"2025-05-02T01:51:40.000Z",65.99,0.21,0.21,0.21
"2025-05-02T01:52:00.000Z",69.86,0.16,0.21,0.19
"2025-05-02T01:52:20.000Z",69.34,0.22,0.16,0.19
"2025-05-02T01:52:40.000Z",65.39,0.16,0.18,0.17
"2025-05-02T01:53:00.000Z",65.4,0.2,0.23,0.22
"2025-05-02T01:53:20.000Z",68.34,0.19,0.22,0.21
"2025-05-02T01:53:40.000Z",55.05,0.18,0.2,0.19
"2025-05-02T01:54:00.000Z",68.63,0.17,0.15,0.16
"2025-05-02T01:54:20.000Z",65.17,0.18,0.14,0.16
"2025-05-02T01:54:40.000Z",58.64,0.29,0.3,0.29
"2025-05-02T01:55:00.000Z",68.43,0.16,0.2,0.18
"2025-05-02T01:55:20.000Z",65.39,0.17,0.18,0.17
"2025-05-02T01:55:40.000Z",68.55,0.13,0.15,0.14
"2025-05-02T01:56:00.000Z",39.58,0.1,0.12,0.11
"2025-05-02T01:56:20.000Z",43.47,0.14,0.13,0.13
"2025-05-02T01:56:40.000Z",1.05,0.04,0.06,0.05
"2025-05-02T01:57:00.000Z",1.1,0.05,0.05,0.05
"2025-05-02T01:57:20.000Z",0.96,0.03,0.04,0.04
"2025-05-02T01:57:40.000Z",1.09,0.04,0.04,0.04
"2025-05-02T01:58:00.000Z",4.07,0.05,0.06,0.05
"2025-05-02T01:58:20.000Z",0.97,0.03,0.05,0.04
"2025-05-02T01:58:40.000Z",1.07,0.04,0.05,0.04
"2025-05-02T01:59:00.000Z",1.01,0.04,0.03,0.03
"2025-05-02T01:59:20.000Z",1.04,0.05,0.04,0.05
"2025-05-02T01:59:40.000Z",1,0.03,0.05,0.04
"2025-05-02T02:00:00.000Z",1.14,0.04,0.03,0.03
"2025-05-02T02:00:20.000Z",0.87,0.03,0.03,0.03
"2025-05-02T02:00:40.000Z",0.95,0.03,0.04,0.03
"2025-05-02T02:01:00.000Z",1.27,0.03,0.05,0.04
"2025-05-02T02:01:20.000Z",1.05,0.03,0.03,0.03
"2025-05-02T02:01:40.000Z",1.04,0.04,0.04,0.04
"2025-05-02T02:02:00.000Z",1.16,0.05,0.05,0.05
"2025-05-02T02:02:20.000Z",1.12,0.06,0.06,0.06
"2025-05-02T02:02:40.000Z",1.4,0.06,0.07,0.06
"2025-05-02T02:03:00.000Z",1.12,0.07,0.06,0.07
"2025-05-02T02:03:20.000Z",1.03,0.05,0.07,0.06
"2025-05-02T02:03:40.000Z",1.04,0.05,0.06,0.05
"2025-05-02T02:04:00.000Z",1.14,0.06,0.04,0.05
"2025-05-02T02:04:20.000Z",1.01,0.06,0.04,0.05
"2025-05-02T02:04:40.000Z",1.11,0.06,0.06,0.06
"2025-05-02T02:05:00.000Z",1.11,0.06,0.05,0.05
"2025-05-02T02:05:20.000Z",0.96,0.04,0.06,0.05
"2025-05-02T02:05:40.000Z",1.14,0.07,0.06,0.07
"2025-05-02T02:06:00.000Z",1.05,0.08,0.07,0.07
"2025-05-02T02:06:20.000Z",1.12,0.07,0.06,0.07
"2025-05-02T02:06:40.000Z",1.17,0.11,0.1,0.1
"2025-05-02T02:07:00.000Z",1.11,0.07,0.06,0.06
"2025-05-02T02:07:20.000Z",0.96,0.05,0.06,0.05
"2025-05-02T02:07:40.000Z",1.15,0.06,0.07,0.07
"2025-05-02T02:08:00.000Z",1.02,0.05,0.05,0.05
"2025-05-02T02:08:20.000Z",2.59,0.06,0.06,0.06
"2025-05-02T02:08:40.000Z",1.14,0.07,0.05,0.06
"2025-05-02T02:09:00.000Z",1.16,0.05,0.05,0.05
"2025-05-02T02:09:20.000Z",1.05,0.06,0.05,0.05
"2025-05-02T02:09:40.000Z",1.13,0.05,0.06,0.05
"2025-05-02T02:10:00.000Z",1.17,0.05,0.06,0.06
"2025-05-02T02:10:20.000Z",3.89,0.05,0.05,0.05
"2025-05-02T02:10:40.000Z",1.04,0.06,0.05,0.05
"2025-05-02T02:11:00.000Z",1.14,0.05,0.06,0.06
"2025-05-02T02:11:20.000Z",0.98,0.04,0.05,0.05
"2025-05-02T02:11:40.000Z",4.55,0.06,0.08,0.07
"2025-05-02T02:12:00.000Z",44.47,0.15,0.18,0.16
"2025-05-02T02:12:20.000Z",1.26,0.08,0.08,0.08
"2025-05-02T02:12:40.000Z",1.19,0.07,0.08,0.08
"2025-05-02T02:13:00.000Z",1.27,0.07,0.06,0.07
"2025-05-02T02:13:20.000Z",0.94,0.07,0.06,0.06
"2025-05-02T02:13:40.000Z",1.04,0.06,0.05,0.05
"2025-05-02T02:14:00.000Z",4.15,0.06,0.06,0.06
"2025-05-02T02:14:20.000Z",0.91,0.05,0.05,0.05
"2025-05-02T02:14:40.000Z",1.1,0.06,0.04,0.05
"2025-05-02T02:15:00.000Z",1.17,0.05,0.06,0.05
"2025-05-02T02:15:20.000Z",1.02,0.04,0.04,0.04
"2025-05-02T02:15:40.000Z",1.01,0.04,0.04,0.04
"2025-05-02T02:16:00.000Z",1.08,0.04,0.04,0.04
"2025-05-02T02:16:20.000Z",2.31,0.03,0.04,0.03
"2025-05-02T02:16:40.000Z",1,0.04,0.04,0.04
"2025-05-02T02:17:00.000Z",1.05,0.04,0.04,0.04
"2025-05-02T02:17:20.000Z",1.1,0.04,0.06,0.05
"2025-05-02T02:17:40.000Z",1.44,0.05,0.05,0.05
"2025-05-02T02:18:00.000Z",1.13,0.05,0.06,0.05
"2025-05-02T02:18:20.000Z",1.06,0.04,0.05,0.05
"2025-05-02T02:18:40.000Z",1.05,0.04,0.06,0.05
