"Time","Usage for sp25-cs525-0713.cs.illinois.edu","Readiness for 1","Readiness for 0","Readiness for sp25-cs525-0713.cs.illinois.edu"
"2025-05-02T01:41:20.000Z",0.98,0.06,0.05,0.05
"2025-05-02T01:41:40.000Z",1.06,0.07,0.06,0.06
"2025-05-02T01:42:00.000Z",1.07,0.05,0.07,0.06
"2025-05-02T01:42:20.000Z",0.99,0.08,0.07,0.07
"2025-05-02T01:42:40.000Z",0.98,0.06,0.05,0.05
"2025-05-02T01:43:00.000Z",1.1,0.06,0.06,0.06
"2025-05-02T01:43:20.000Z",0.93,0.07,0.06,0.06
"2025-05-02T01:43:40.000Z",1.03,0.06,0.06,0.06
"2025-05-02T01:44:00.000Z",1.03,0.06,0.06,0.06
"2025-05-02T01:44:20.000Z",0.93,0.06,0.05,0.05
"2025-05-02T01:44:40.000Z",1.02,0.05,0.05,0.05
"2025-05-02T01:45:00.000Z",1.05,0.05,0.05,0.05
"2025-05-02T01:45:20.000Z",0.91,0.04,0.05,0.05
"2025-05-02T01:45:40.000Z",0.97,0.04,0.04,0.04
"2025-05-02T01:46:00.000Z",1.02,0.04,0.05,0.04
"2025-05-02T01:46:20.000Z",0.89,0.03,0.05,0.04
"2025-05-02T01:46:40.000Z",1.04,0.05,0.04,0.05
"2025-05-02T01:47:00.000Z",1.04,0.04,0.04,0.04
"2025-05-02T01:47:20.000Z",0.89,0.04,0.03,0.03
"2025-05-02T01:47:40.000Z",1.09,0.04,0.05,0.05
"2025-05-02T01:48:00.000Z",1.03,0.04,0.05,0.04
"2025-05-02T01:48:20.000Z",0.88,0.02,0.04,0.03
"2025-05-02T01:48:40.000Z",1.08,0.04,0.06,0.05
"2025-05-02T01:49:00.000Z",19.76,0.08,0.08,0.08
"2025-05-02T01:49:20.000Z",9.8,0.09,0.09,0.09
"2025-05-02T01:49:40.000Z",1.06,0.05,0.04,0.05
"2025-05-02T01:50:00.000Z",1.02,0.05,0.05,0.05
"2025-05-02T01:50:20.000Z",0.91,0.04,0.04,0.04
"2025-05-02T01:50:40.000Z",0.98,0.03,0.04,0.04
"2025-05-02T01:51:00.000Z",3.98,0.04,0.06,0.05
"2025-05-02T01:51:20.000Z",1,0.04,0.04,0.04
"2025-05-02T01:51:40.000Z",0.94,0.04,0.03,0.04
"2025-05-02T01:52:00.000Z",0.96,0.04,0.04,0.04
"2025-05-02T01:52:20.000Z",0.98,0.04,0.04,0.04
"2025-05-02T01:52:40.000Z",0.98,0.04,0.04,0.04
"2025-05-02T01:53:00.000Z",1,0.03,0.04,0.03
"2025-05-02T01:53:20.000Z",1.22,0.04,0.05,0.04
"2025-05-02T01:53:40.000Z",0.95,0.03,0.04,0.03
"2025-05-02T01:54:00.000Z",0.99,0.04,0.04,0.04
"2025-05-02T01:54:20.000Z",0.94,0.03,0.05,0.04
"2025-05-02T01:54:40.000Z",1.1,0.04,0.04,0.04
"2025-05-02T01:55:00.000Z",1.04,0.04,0.05,0.05
"2025-05-02T01:55:20.000Z",0.97,0.04,0.04,0.04
"2025-05-02T01:55:40.000Z",0.95,0.04,0.04,0.04
"2025-05-02T01:56:00.000Z",1,0.03,0.05,0.04
"2025-05-02T01:56:20.000Z",1.06,0.03,0.03,0.03
"2025-05-02T01:56:40.000Z",0.87,0.03,0.04,0.04
"2025-05-02T01:57:00.000Z",0.98,0.03,0.03,0.03
"2025-05-02T01:57:20.000Z",0.94,0.04,0.03,0.03
"2025-05-02T01:57:40.000Z",0.97,0.03,0.03,0.03
"2025-05-02T01:58:00.000Z",0.99,0.03,0.03,0.03
"2025-05-02T01:58:20.000Z",0.94,0.03,0.04,0.04
"2025-05-02T01:58:40.000Z",1.01,0.03,0.04,0.04
"2025-05-02T01:59:00.000Z",1.06,0.04,0.03,0.03
"2025-05-02T01:59:20.000Z",0.95,0.04,0.03,0.04
"2025-05-02T01:59:40.000Z",0.96,0.04,0.03,0.03
"2025-05-02T02:00:00.000Z",1.05,0.04,0.03,0.03
"2025-05-02T02:00:20.000Z",0.89,0.03,0.03,0.03
"2025-05-02T02:00:40.000Z",0.94,0.03,0.02,0.03
"2025-05-02T02:01:00.000Z",1.32,0.04,0.03,0.03
"2025-05-02T02:01:20.000Z",1.03,0.03,0.03,0.03
"2025-05-02T02:01:40.000Z",1.06,0.04,0.05,0.05
"2025-05-02T02:02:00.000Z",1.06,0.06,0.05,0.05
"2025-05-02T02:02:20.000Z",1.21,0.08,0.07,0.07
"2025-05-02T02:02:40.000Z",1.06,0.06,0.08,0.07
"2025-05-02T02:03:00.000Z",1.13,0.06,0.07,0.07
"2025-05-02T02:03:20.000Z",1.07,0.06,0.07,0.07
"2025-05-02T02:03:40.000Z",0.98,0.06,0.03,0.04
"2025-05-02T02:04:00.000Z",1.08,0.05,0.04,0.05
"2025-05-02T02:04:20.000Z",0.95,0.04,0.04,0.04
"2025-05-02T02:04:40.000Z",1.01,0.06,0.05,0.05
"2025-05-02T02:05:00.000Z",1.02,0.05,0.04,0.04
"2025-05-02T02:05:20.000Z",1.03,0.05,0.05,0.05
"2025-05-02T02:05:40.000Z",1.08,0.06,0.07,0.06
"2025-05-02T02:06:00.000Z",1.05,0.07,0.07,0.07
"2025-05-02T02:06:20.000Z",5.41,0.09,0.1,0.1
"2025-05-02T02:06:40.000Z",25.59,0.16,0.18,0.17
"2025-05-02T02:07:00.000Z",1.06,0.09,0.07,0.08
"2025-05-02T02:07:20.000Z",1.05,0.08,0.05,0.07
"2025-05-02T02:07:40.000Z",1,0.06,0.05,0.06
"2025-05-02T02:08:00.000Z",1.01,0.06,0.05,0.06
"2025-05-02T02:08:20.000Z",4.21,0.06,0.08,0.07
"2025-05-02T02:08:40.000Z",1.05,0.06,0.04,0.05
"2025-05-02T02:09:00.000Z",1.14,0.05,0.06,0.05
"2025-05-02T02:09:20.000Z",1.12,0.05,0.06,0.05
"2025-05-02T02:09:40.000Z",1.07,0.07,0.05,0.06
"2025-05-02T02:10:00.000Z",1.06,0.06,0.06,0.06
"2025-05-02T02:10:20.000Z",1,0.06,0.05,0.05
"2025-05-02T02:10:40.000Z",1.02,0.06,0.05,0.05
"2025-05-02T02:11:00.000Z",1.24,0.05,0.06,0.06
"2025-05-02T02:11:20.000Z",0.97,0.04,0.05,0.05
"2025-05-02T02:11:40.000Z",1.25,0.06,0.06,0.06
"2025-05-02T02:12:00.000Z",1.12,0.05,0.08,0.07
"2025-05-02T02:12:20.000Z",1.13,0.05,0.07,0.06
"2025-05-02T02:12:40.000Z",1.24,0.06,0.07,0.07
"2025-05-02T02:13:00.000Z",1.15,0.07,0.07,0.07
"2025-05-02T02:13:20.000Z",1,0.08,0.07,0.07
"2025-05-02T02:13:40.000Z",1.01,0.07,0.05,0.06
"2025-05-02T02:14:00.000Z",1.09,0.05,0.04,0.05
"2025-05-02T02:14:20.000Z",0.98,0.05,0.04,0.05
"2025-05-02T02:14:40.000Z",1.04,0.05,0.05,0.05
"2025-05-02T02:15:00.000Z",1.1,0.04,0.04,0.04
"2025-05-02T02:15:20.000Z",0.99,0.04,0.03,0.03
"2025-05-02T02:15:40.000Z",1.04,0.04,0.03,0.03
"2025-05-02T02:16:00.000Z",1.06,0.04,0.04,0.04
"2025-05-02T02:16:20.000Z",0.92,0.03,0.04,0.03
"2025-05-02T02:16:40.000Z",1.06,0.04,0.03,0.03
"2025-05-02T02:17:00.000Z",1.04,0.03,0.04,0.03
"2025-05-02T02:17:20.000Z",1,0.04,0.03,0.04
"2025-05-02T02:17:40.000Z",0.99,0.04,0.03,0.04
"2025-05-02T02:18:00.000Z",0.97,0.03,0.04,0.04
"2025-05-02T02:18:20.000Z",0.99,0.03,0.04,0.03
"2025-05-02T02:18:40.000Z",1.09,0.03,0.04,0.03
"2025-05-02T02:19:00.000Z",1.04,0.04,0.04,0.04
"2025-05-02T02:19:20.000Z",1,0.03,0.03,0.03
